match_id,Date,Team A,Team B,Goals A,Goals B,Possession A,Possession B
1,2026-06-11,Mexico,South Africa,2,0,57,43
2,2026-06-11,South Korea,Czechia,2,1,54,46
3,2026-06-12,Canada,Bosnia and Herzegovina,1,1,52,29
4,2026-06-12,USA,Paraguay,4,1,59,28
5,2026-06-13,Qatar,Switzerland,1,1,28,58
6,2026-06-13,Brazil,Morocco,1,1,55,45
7,2026-06-13,Haiti,Scotland,0,1,44,56
8,2026-06-13,Australia,Türkiye,2,0,27,62
9,2026-06-14,Germany,Curaçao,7,1,63,37
10,2026-06-14,Netherlands,Japan,2,2,61,39
11,2026-06-14,Côte d'Ivoire,Ecuador,1,0,41,49
12,2026-06-14,Sweden,Tunisia,5,1,49,51
13,2026-06-15,Spain,Cabo Verde,0,0,74,26
14,2026-06-15,Belgium,Egypt,1,1,57,43
15,2026-06-15,Saudi Arabia,Uruguay,1,1,27,63
16,2026-06-15,IR Iran,New Zealand,2,2,43,45
17,2026-06-16,France,Senegal,3,1,49,44
18,2026-06-16,Iraq,Norway,1,4,34,57
19,2026-06-16,Argentina,Algeria,3,0,49,51
20,2026-06-16,Austria,Jordan,3,1,53,33
21,2026-06-17,Portugal,Congo DR,1,1,68,25
22,2026-06-17,England,Croatia,4,2,48,43
23,2026-06-17,Ghana,Panama,1,0,35,55
24,2026-06-17,Uzbekistan,Colombia,1,3,33,56
25,2026-06-18,Mexico,South Korea,1,0,49,51
26,2026-06-18,Czechia,South Africa,1,1,32,60
27,2026-06-18,Canada,Qatar,6,0,65,20
28,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,57,34
29,2026-06-19,Brazil,Haiti,3,0,59,41
30,2026-06-19,Scotland,Morocco,0,1,41,59
31,2026-06-19,USA,Australia,2,0,55,30
32,2026-06-19,Türkiye,Paraguay,0,1,67,19
33,2026-06-20,Germany,Côte d'Ivoire,2,1,59,41
34,2026-06-20,Ecuador,Curaçao,0,0,63,37
35,2026-06-20,Netherlands,Sweden,5,1,48,43
36,2026-06-20,Tunisia,Japan,0,4,38,62
37,2026-06-21,Belgium,IR Iran,0,0,59,30
38,2026-06-21,New Zealand,Egypt,1,3,39,50
39,2026-06-21,Spain,Saudi Arabia,4,0,67,33
40,2026-06-21,Uruguay,Cabo Verde,2,2,65,35
41,2026-06-22,France,Iraq,3,0,56,44
42,2026-06-22,Norway,Senegal,3,2,52,48
43,2026-06-22,Argentina,Austria,2,0,54,46
44,2026-06-22,Jordan,Algeria,1,2,29,71
