match_id,date,group,team_a,team_b,score,team_a_total_attempts,team_a_shots_on_target,team_b_total_attempts,team_b_shots_on_target,evidence_type,evidence_url,fifa_match_url,fifa_fulltime_report_url,fifa_summary_report_url
400021443,2026-06-11,A,Mexico,South Africa,2–0,16,4,3,2,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12452/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021443,https://fdp.fifa.org/assetspublic/ce281/r12452/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01%20MEX%20V%20RSA.pdf
400021441,2026-06-11,A,South Korea,Czech Republic,2–1,15,6,6,4,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12450/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021441,https://fdp.fifa.org/assetspublic/ce281/r12450/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02%20KOR%20V%20CZE%20.pdf
400021440,2026-06-18,A,Czech Republic,South Africa,1–1,14,3,17,4,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12449/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021440,https://fdp.fifa.org/assetspublic/ce281/r12449/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M25-CZE-V-RSA.pdf
400021442,2026-06-18,A,Mexico,South Korea,1–0,,4,,2,FIFA Training Centre post-match summary,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M28-MEX-V-KOR.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021442,https://fdp.fifa.org/assetspublic/ce281/r12451/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M28-MEX-V-KOR.pdf
400021444,2026-06-24,A,Czech Republic,Mexico,0–3,13,1,11,5,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12453/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021444,https://fdp.fifa.org/assetspublic/ce281/r12453/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M53-CZE-V-MEX.pdf
400021445,2026-06-24,A,South Africa,South Korea,1–0,13,4,8,3,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12454/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021445,https://fdp.fifa.org/assetspublic/ce281/r12454/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M54-RSA-V-KOR.pdf
400021449,2026-06-12,B,Canada,Bosnia and Herzegovina,1–1,13,4,8,3,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12458/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021449,https://fdp.fifa.org/assetspublic/ce281/r12458/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf
400021447,2026-06-13,B,Qatar,Switzerland,1–1,6,3,26,7,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12456/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021447,https://fdp.fifa.org/assetspublic/ce281/r12456/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M08-QAT-V-SUI.pdf
400021446,2026-06-18,B,Switzerland,Bosnia and Herzegovina,4–1,,7,,3,FIFA Training Centre post-match summary,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M26-SUI-V-BIH.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021446,https://fdp.fifa.org/assetspublic/ce281/r12455/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M26-SUI-V-BIH.pdf
400021450,2026-06-18,B,Canada,Qatar,6–0,33,10,2,0,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12459/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021450,https://fdp.fifa.org/assetspublic/ce281/r12459/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M27-CAN-V-QAT.pdf
400021451,2026-06-24,B,Switzerland,Canada,2–1,,4,,7,FIFA Training Centre post-match summary,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M51-SUI-V-CAN.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021451,https://fdp.fifa.org/assetspublic/ce281/r12460/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M51-SUI-V-CAN.pdf
400021448,2026-06-24,B,Bosnia and Herzegovina,Qatar,3–1,14,5,9,3,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12457/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021448,https://fdp.fifa.org/assetspublic/ce281/r12457/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M52-BIH-V-QAT.pdf
400021456,2026-06-13,C,Brazil,Morocco,1–1,13,5,14,3,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12465/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021456,https://fdp.fifa.org/assetspublic/ce281/r12465/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M07-BRA-V-MAR.pdf
400021453,2026-06-13,C,Haiti,Scotland,0–1,15,2,9,2,"FIFA full-time match report, team statistics row",https://fdp.fifa.org/assetspublic/ce281/r12462/pdf/FullTimeMatchReport-English.pdf,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021453,https://fdp.fifa.org/assetspublic/ce281/r12462/pdf/FullTimeMatchReport-English.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf
