match_id,Date,Team A,Team B,Goals A,Goals B,Possession A,Possession B
1,2026-06-11,Mexico,South Africa,2,0,57,43
2,2026-06-11,South Korea,Czechia,2,1,54,46
4,2026-06-12,USA,Paraguay,4,1,59,28
7,2026-06-13,Haiti,Scotland,0,1,44,56
8,2026-06-13,Australia,Türkiye,2,0,27,62
9,2026-06-14,Germany,Curaçao,7,1,63,37
11,2026-06-14,Côte d'Ivoire,Ecuador,1,0,41,49
12,2026-06-14,Sweden,Tunisia,5,1,49,51
17,2026-06-16,France,Senegal,3,1,49,44
18,2026-06-16,Iraq,Norway,1,4,34,57
19,2026-06-16,Argentina,Algeria,3,0,49,51
20,2026-06-16,Austria,Jordan,3,1,53,33
22,2026-06-17,England,Croatia,4,2,48,43
23,2026-06-17,Ghana,Panama,1,0,35,55
24,2026-06-17,Uzbekistan,Colombia,1,3,33,56
25,2026-06-18,Mexico,South Korea,1,0,49,51
27,2026-06-18,Canada,Qatar,6,0,65,20
28,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,57,34
29,2026-06-19,Brazil,Haiti,3,0,59,41
30,2026-06-19,Scotland,Morocco,0,1,41,59
31,2026-06-19,USA,Australia,2,0,55,30
32,2026-06-19,Türkiye,Paraguay,0,1,67,19
33,2026-06-20,Germany,Côte d'Ivoire,2,1,59,41
35,2026-06-20,Netherlands,Sweden,5,1,48,43
36,2026-06-20,Tunisia,Japan,0,4,38,62
38,2026-06-21,New Zealand,Egypt,1,3,39,50
39,2026-06-21,Spain,Saudi Arabia,4,0,67,33
41,2026-06-22,France,Iraq,3,0,56,44
42,2026-06-22,Norway,Senegal,3,2,52,48
43,2026-06-22,Argentina,Austria,2,0,54,46
44,2026-06-22,Jordan,Algeria,1,2,29,71
45,2026-06-23,Portugal,Uzbekistan,5,0,62,38
46,2026-06-23,Colombia,Congo DR,1,0,58,42
48,2026-06-23,Panama,Croatia,0,1,44,56
49,2026-06-24,Czechia,Mexico,0,3,50,50
50,2026-06-24,South Africa,South Korea,1,0,32,68
51,2026-06-24,Switzerland,Canada,2,1,55,45
52,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,54,46
53,2026-06-25,Scotland,Brazil,0,3,35,65
54,2026-06-25,Morocco,Haiti,4,2,62,38
55,2026-06-25,Türkiye,USA,3,2,48,52
57,2026-06-26,Ecuador,Germany,2,1,44,56
58,2026-06-26,Curaçao,Côte d'Ivoire,0,2,41,59
59,2026-06-26,Tunisia,Netherlands,1,3,38,62
61,2026-06-27,New Zealand,Belgium,1,5,35,65
63,2026-06-27,Uruguay,Spain,0,1,42,58
65,2026-06-26,Norway,France,1,4,47,53
66,2026-06-26,Senegal,Iraq,5,0,69,31
67,2026-06-27,Jordan,Argentina,1,3,27,73
70,2026-06-28,Congo DR,Uzbekistan,3,1,64,36
71,2026-06-28,Panama,England,0,2,33,67
72,2026-06-28,Croatia,Ghana,2,1,53,47
73,2026-06-29,South Africa,Canada,0,1,58,42
74,2026-06-29,Brazil,Japan,2,1,69,31
77,2026-06-30,Côte d'Ivoire,Norway,1,2,52,48
78,2026-07-01,France,Sweden,3,0,61,39
79,2026-07-01,Mexico,Ecuador,2,0,37,52
80,2026-07-01,England,Congo DR,2,1,60,40
81,2026-07-02,Belgium,Senegal,3,2,52,48
82,2026-07-02,USA,Bosnia and Herzegovina,2,0,48,52
83,2026-07-03,Spain,Austria,3,0,64,36
84,2026-07-03,Portugal,Croatia,2,1,62,38
85,2026-07-03,Switzerland,Algeria,2,0,45,55
87,2026-07-04,Argentina,Cabo Verde,3,2,64,36
88,2026-07-04,Colombia,Ghana,1,0,61,39
89,2026-07-04,Paraguay,France,0,1,24,76
90,2026-07-04,Canada,Morocco,0,3,37,50
91,2026-07-05,Brazil,Norway,1,2,34,66
92,2026-07-06,Mexico,England,2,3,67,33
93,2026-07-06,Portugal,Spain,0,1,44,56
94,2026-07-07,USA,Belgium,1,4,42,58
95,2026-07-07,Argentina,Egypt,3,2,61,39
97,2026-07-09,France,Morocco,2,0,59,41
98,2026-07-10,Spain,Belgium,2,1,57,43
99,2026-07-11,Norway,England,1,2,42,58
100,2026-07-12,Argentina,Switzerland,3,1,63,37
101,2026-07-14,France,Spain,0,2,41,59
102,2026-07-15,England,Argentina,1,2,47,53
103,2026-07-18,France,England,4,6,50,50
104,2026-07-19,Spain,Argentina,1,2,54,46
